city,latitude,longitude,metro_cbsa_code
AU/NSW/Sydney,-33.865,151.209444,
AU/VIC/Melbourne,-37.813611,144.963056,
AU/WA/Perth,-31.952222,115.858889,
CA/BC/Richmond,49.166667,-123.133333,
DE/Frankfurt,50.116667,8.683333,
DE/Gondorf,49.969444,6.618056,
DE/Munich,48.133333,11.566667,
DE/Nuremberg,49.45,11.083333,
FR/Paris,48.8567,2.3508,
FR/Versailles,48.8053,2.135,
GB/London,51.507222,-0.1275,
IS/Reykjavík,64.133333,-21.933333,
JP/Tokyo,35.689722,139.692222,
NZ/Auckland,-36.840556,174.74,
NZ/Dunedin,-45.866667,170.5,
NZ/Herbert,-45.233333,170.783333,
NZ/Palmerston,-45.484026,170.715265,
SE/Stockholm,59.329444,18.068611,
US/AL/Birmingham,33.653333,-86.808889,13820
US/AR/Little Rock,34.736111,-92.331111,30780
US/AR/North Little Rock,34.780833,-92.256944,30780
US/AZ/Flagstaff,35.199167,-111.631111,22380
US/AZ/Phoenix,33.45,-112.066667,38060
US/AZ/Scottsdale,33.5,-111.933333,38060
US/AZ/Tucson,32.221667,-110.926389,46060
US/CA/Bakersfield,35.366667,-119.016667,12540
US/CA/Beverly Hills,34.073056,-118.399444,31080
US/CA/Burbank,34.180278,-118.328333,31080
US/CA/Cupertino,37.323056,-122.031944,41940
US/CA/El Segundo,33.921389,-118.406111,31080
US/CA/Fontana,34.1,-117.466667,40140
US/CA/Los Angeles,34.05,-118.25,31080
US/CA/Palmdale,34.581111,-118.100556,31080
US/CA/San Diego,32.715,-117.1625,41740
US/CA/San Jose,37.333333,-121.9,41940
US/CO/Centennial,39.590568,-104.869118,19740
US/CO/Colorado Springs,38.833889,-104.825278,17820
US/CO/Denver,39.76185,-104.881105,19740
US/CO/Englewood,39.646505,-104.994001,19740
US/FL/Crestview,30.754167,-86.572778,18880
US/FL/Destin,30.393333,-86.475278,18880
US/FL/Fort Lauderdale,26.133333,-80.15,33100
US/FL/Fort Walton Beach,30.420278,-86.616667,18880
US/FL/Jacksonville,30.336944,-81.661389,27260
US/FL/Key West,24.559722,-81.783611,28580
US/FL/Orange Park,30.168611,-81.708611,27260
US/FL/Orlando,28.54,-81.38,36740
US/FL/Tampa,27.968056,-82.476389,45300
US/FL/Pensacola,30.433333,-87.2,37860
US/GA/Atlanta,33.748889,-84.39,12060
US/GA/Hinesville,31.846667,-81.596389,
US/GA/Marietta,33.953333,-84.540556,12060
US/GA/Moody AFB,30.968611,-83.193056,46660
US/GA/Savannah,32.016667,-81.116667,
