metro_id,metro_title,short_name,latitude,longitude
10180,"Abilene, TX",Abilene,32.449,-99.733
10420,"Akron, OH",Akron,41.073,-81.518
10740,"Albuquerque, NM",Albuquerque,35.111,-106.61
11060,"Altus, OK",Altus,34.644,-99.327
11100,"Amarillo, TX",Amarillo,35.199,-101.845
12060,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,33.749,-84.39
12420,"Austin-Round Rock-Georgetown, TX",Austin,30.267,-97.733
12540,"Bakersfield, CA",Bakersfield,35.367,-119.017
13380,"Bellingham, WA",Bellingham,48.75,-122.475
13780,"Binghamton, NY",Binghamton,42.102,-75.912
13820,"Birmingham-Hoover, AL",Birmingham,33.653,-86.809
14460,"Boston-Cambridge-Newton, MA-NH",Boston,42.358,-71.064
14860,"Bridgeport-Stamford-Norwalk, CT",Bridgeport,41.186,-73.196
15380,"Buffalo-Cheektowaga, NY",Buffalo,42.905,-78.849
15940,"Canton-Massillon, OH",Canton,40.805,-81.376
16580,"Champaign-Urbana, IL",Champaign,40.115,-88.273
16700,"Charleston-North Charleston, SC",Charleston,32.783,-79.933
16740,"Charlotte-Concord-Gastonia, NC-SC",Charlotte,35.227,-80.843
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,41.882,-87.628
17140,"Cincinnati, OH-KY-IN",Cincinnati,39.1,-84.517
17460,"Cleveland-Elyria, OH",Cleveland,41.482,-81.67
17820,"Colorado Springs, CO",Colorado Springs,38.834,-104.825
18140,"Columbus, OH",Columbus,39.983,-82.983
18880,"Crestview-Fort Walton Beach-Destin, FL",Fort Walton Beach,30.42,-86.617
19100,"Dallas-Fort Worth-Arlington, TX",Dallas,32.779,-96.809
19430,"Dayton-Kettering, OH",Dayton,39.759,-84.192
19580,"Defiance, OH",Defiance,41.282,-84.363
19740,"Denver-Aurora-Lakewood, CO",Denver,39.762,-104.881
19780,"Des Moines-West Des Moines, IA",Des Moines,41.591,-93.621
19820,"Detroit-Warren-Dearborn, MI",Detroit,42.331,-83.046
21060,"Elizabethtown-Fort Knox, KY",Elizabethtown,37.7,-85.867
21140,"Elkhart-Goshen, IN",Elkhart,41.683,-85.969
22380,"Flagstaff, AZ",Flagstaff,35.199,-111.631
23060,"Fort Wayne, IN",Fort Wayne,41.08,-85.139
24020,"Glens Falls, NY",Glens Falls,43.424,-73.715
24140,"Goldsboro, NC",Goldsboro,35.382,-77.978
25900,"Hilo, HI",Hilo,19.706,-155.086
25940,"Hilton Head Island-Bluffton, SC",Hilton Head Island,32.179,-80.743
25980,"Hinesville, GA",Hinesville,31.847,-81.596
26580,"Huntington-Ashland, WV-KY-OH",Huntington,38.421,-82.424
26900,"Indianapolis-Carmel-Anderson, IN",Indianapolis,39.769,-86.158
27260,"Jacksonville, FL",Jacksonville,30.337,-81.661
27340,"Jacksonville, NC",Jacksonville,34.76,-77.41
28580,"Key West, FL",Key West,24.56,-81.784
28660,"Killeen-Temple, TX",Killeen,31.106,-97.727
28940,"Knoxville, TN",Knoxville,35.962,-83.923
29200,"Lafayette-West Lafayette, IN",Lafayette,40.417,-86.879
29780,"Las Vegas, NM",Las Vegas,36.175,-115.136
30020,"Lawton, OK",Lawton,34.604,-98.396
30460,"Lexington-Fayette, KY",Lexington,38.03,-84.495
30780,"Little Rock-North Little Rock-Conway, AR",Little Rock,34.736,-92.331
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.05,-118.25
31140,"Louisville/Jefferson County, KY-IN",Louisville,38.225,-85.742
31180,"Lubbock, TX",Lubbock,33.578,-101.89
31740,"Manhattan, KS",Manhattan,39.184,-96.572
31930,"Marietta, OH",Marietta,39.417,-81.45
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami,25.775,-80.209
33140,"Michigan City-La Porte, IN",Michigan City,41.709,-86.887
34060,"Morgantown, WV",Morgantown,39.634,-79.951
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,33.744,-78.869
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Nashville,36.167,-86.783
35380,"New Orleans-Metairie, LA",New Orleans,29.95,-90.08
35620,"New York-Newark-Jersey City, NY-NJ-PA",New York,40.713,-74.006
36260,"Ogden-Clearfield, UT",Ogden,41.228,-111.961
36420,"Oklahoma City, OK",Oklahoma City,35.482,-97.535
36740,"Orlando-Kissimmee-Sanford, FL",Orlando,28.54,-81.38
37860,"Pensacola-Ferry Pass-Brent, FL",Pensacola,30.433,-87.2
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE/MD",Philadelphia,39.953,-75.164
38060,"Phoenix-Mesa-Chandler, AZ",Phoenix,33.45,-112.067
38240,"Pinehurst-Southern Pines, NC",Pinehurst,35.195,-79.469
38300,"Pittsburgh, PA",Pittsburgh,40.44,-79.976
38860,"Portland-South Portland, ME",Portland,43.667,-70.267
38900,"Portland-Vancouver-Hillsboro, OR-WA",Portland,45.52,-122.682
39300,"Providence-Warwick, RI-MA",Providence,41.824,-71.422
39580,"Raleigh-Cary, NC",Raleigh,35.767,-78.633
39660,"Rapid City, SD",Rapid City,44.076,-103.228
40140,"Riverside-San Bernardino-Ontario, CA",Riverside,33.948,-117.396
41620,"Salt Lake City, UT",Salt Lake City,40.761,-111.891
41700,"San Antonio-New Braunfels, TX",San Antonio,29.417,-98.5
41740,"San Diego-Chula Vista-Carlsbad, CA",San Diego,32.715,-117.162
41940,"San Jose-Sunnyvale-Santa Clara, CA",San Jose,37.333,-121.9
41980,"San Juan-Bayamón-Caguas, PR",San Juan,18.406,-66.064
42340,"Savannah, GA",Savannah,32.017,-81.117
42940,"Sevierville, TN",Sevierville,35.878,-83.57
43780,"South Bend-Mishawaka, IN-MI",South Bend,41.676,-86.25
42660,"Seattle-Tacoma-Bellevue, WA",Seattle,47.61,-122.333
41180,"St. Louis, MO-IL",St. Louis,38.627,-90.198
44940,"Sumter, SC",Sumter,33.927,-80.364
45300,"Tampa-St. Petersburg-Clearwater, FL",Tampa,27.968,-82.476
45460,"Terre Haute, IN",Terre Haute,39.47,-87.39
46060,"Tucson, AZ",Tucson,32.222,-110.926
46140,"Tulsa, OK",Tulsa,36.131,-95.937
46520,"Urban Honolulu, HI",Honolulu,21.3,-157.817
46660,"Valdosta, GA",Valdosta,30.847,-83.283
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Virginia Beach,36.85,-75.978
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington,38.905,-77.016
48620,"Wichita, KS",Wichita,37.689,-97.336
AU/MELBOURNE,Melbourne,Melbourne,-37.814,144.963
AU/PERTH,Perth,Perth,-31.952,115.859
AU/SYDNEY,Sydney,Sydney,-33.865,151.209
CA/TORONTO,Toronto,Toronto,43.742,-79.373
CA/VANCOUVER,Vancouver,Vancouver,49.261,-123.114
DE/BITBURG,Bitburg,Bitburg,49.967,6.533
DE/MUNICH,Munich,Munich,48.133,11.567
DE/FRANKFURT,Frankfurt,Frankfurt,50.117,8.683
DE/NUREMBERG,Nuremberg,Nuremberg,49.454,11.078
FI/HELSINKI,Helsinki,Helsinki,60.171,24.938
FR/PARIS,Paris,Paris,48.857,2.351
GB/LONDON,London,London,51.507,-0.128
IS/REYKJAVIK,Reykjavík,Reykjavík,64.133,-21.933
JP/TOKYO,Tokyo,Tokyo,35.69,139.692
NZ/AUCKLAND,Auckland,Auckland,-36.841,174.74
NZ/DUNEDIN,Dunedin,Dunedin,-45.867,170.5
SE/STOCKHOLM,Stockholm,Stockholm,59.329,18.069
