abbrev,name,latitude,longitude
AK,Alaska,65.36,-151.6
AL,Alabama,32.86,-86.72
AR,Arkansas,34.76,-92.14
AZ,Arizona,34.3,-111.94
CA,California,36.75,-119.59
CO,Colorado,39.0,-105.54
CT,Connecticut,41.65,-72.76
DC,District of Columbia,38.89,-77.01
DE,Delaware,38.87,-75.41
FL,Florida,28.16,-81.62
GA,Georgia,32.85,-83.41
HI,Hawaii,21.49,-158.0
IA,Iowa,42.04,-93.39
ID,Idaho,43.78,-114.13
IL,Illinois,39.95,-89.2
IN,Indiana,39.89,-86.14
KS,Kansas,38.5,-98.33
KY,Kentucky,37.4,-85.57
LA,Louisiana,30.53,-92.0
MA,Massachusetts,42.37,-72.0
MD,Maryland,39.39,-77.05
ME,Maine,45.15,-69.2
MI,Michigan,43.43,-84.95
MN,Minnesota,46.06,-93.36
MO,Missouri,38.55,-92.45
MS,Mississippi,32.87,-89.72
MT,Montana,47.0,-110.04
NC,North Carolina,35.62,-78.87
ND,North Dakota,47.47,-100.3
NE,Nebraska,41.5,-99.69
NH,New Hampshire,43.6,-71.63
NJ,New Jersey,40.04,-74.47
NM,New Mexico,34.5,-106.02
NV,Nevada,39.43,-117.02
NY,New York,43.2,-75.32
OH,Ohio,40.09,-82.67
OK,Oklahoma,35.45,-97.13
OR,Oregon,43.83,-120.39
PA,Pennsylvania,40.86,-77.61
RI,Rhode Island,41.62,-71.51
SC,South Carolina,33.86,-80.65
SD,South Dakota,44.47,-100.26
TN,Tennessee,35.75,-86.34
TX,Texas,31.13,-98.76
UT,Utah,39.5,-111.54
VA,Virginia,37.74,-78.24
VT,Vermont,44.09,-72.73
WA,Washington,47.49,-120.36
WI,Wisconsin,44.37,-89.58
WV,West Virginia,38.64,-80.71
WY,Wyoming,43.0,-107.55
